State,NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,GrAppv,NAICS_Sector,State_Points,NAICS_Sector_Points,Log_GrAppv,Guarantee_Ratio,Term_Years,IsCreateJob,IsRetained,IsFranchise,LowDoc_Binary,NewExist_Clean
ND,561422,84,3,1.0,0,3,0,2,Y,N,50000.0,56,5,2,10.819798284210286,0.5,7,0.0,1.0,0.0,0.0,1.0
MN,541110,60,1,2.0,0,1,0,1,N,N,25000.0,54,4,4,10.12667110305036,0.9,5,0.0,1.0,0.0,0.0,2.0
CA,541618,84,1,1.0,2,3,0,1,Y,N,50000.0,54,2,4,10.819798284210286,0.5,7,1.0,1.0,0.0,0.0,1.0
FL,323114,108,16,1.0,20,16,0,1,N,N,1593600.0,32,1,4,14.281506793322315,0.8,9,1.0,1.0,0.0,0.0,1.0
MA,312140,84,4,2.0,1,0,0,1,Y,N,100000.0,31,4,3,11.51293546492023,0.5,7,1.0,0.0,0.0,0.0,2.0
ID,453991,23,2,1.0,0,2,0,2,Y,N,15000.0,45,4,2,9.61587214452889,0.5,1,0.0,1.0,0.0,0.0,1.0
UT,541611,61,5,1.0,5,5,0,2,Y,N,15000.0,54,2,4,9.61587214452889,0.5,5,1.0,1.0,0.0,0.0,1.0
OK,812112,60,1,1.0,0,1,0,1,N,N,15000.0,81,3,3,9.61587214452889,0.9,5,0.0,1.0,0.0,0.0,1.0
IL,424990,43,2,1.0,0,2,0,2,N,N,50000.0,42,1,3,10.819798284210286,0.5,3,0.0,1.0,0.0,0.0,1.0
MA,722212,60,2,1.0,0,2,0,1,N,N,60000.0,72,4,3,11.002116507732017,0.9,5,0.0,1.0,0.0,0.0,1.0
NY,561621,84,4,1.0,0,4,0,2,Y,N,75000.0,56,1,2,11.225256725762893,0.5,7,0.0,1.0,0.0,0.0,1.0
CA,339999,36,23,1.0,1,1,0,1,Y,N,100000.0,33,2,4,11.51293546492023,0.5,3,1.0,1.0,0.0,0.0,1.0
MS,112320,24,2,1.0,0,2,0,2,N,N,4900.0,11,3,5,8.497194544909547,0.9,2,0.0,1.0,0.0,0.0,1.0
CA,541512,84,1,1.0,1,2,0,1,Y,N,10000.0,54,2,4,9.210440366976517,0.5,7,1.0,1.0,0.0,0.0,1.0
VT,339932,240,28,1.0,4,0,0,2,N,N,229000.0,33,5,4,12.34148164933907,1.0,20,1.0,0.0,0.0,0.0,1.0
NM,562119,120,3,1.0,0,0,0,1,N,N,200000.0,56,5,2,12.206077645517674,0.9,10,0.0,0.0,0.0,0.0,1.0
TX,238310,84,1,2.0,19,1,0,1,N,N,100000.0,23,2,2,11.51293546492023,0.9,7,1.0,1.0,0.0,0.0,2.0
MN,238220,78,6,1.0,1,1,0,2,N,N,35000.0,23,4,2,10.463131911491967,1.0,6,1.0,1.0,0.0,0.0,1.0
NV,541330,50,18,1.0,8,12,0,1,N,N,400000.0,54,1,4,12.899222326086994,0.9,4,1.0,1.0,0.0,0.0,1.0
UT,484121,12,2,1.0,0,2,0,2,Y,,20000.0,48,2,1,9.90353755128617,0.9,1,0.0,1.0,0.0,,1.0
AZ,446191,48,9,1.0,0,9,0,1,Y,N,125000.0,44,1,2,11.736077016252437,0.5,4,0.0,1.0,0.0,0.0,1.0
CA,238220,84,2,1.0,1,2,0,1,Y,N,35000.0,23,2,2,10.463131911491967,0.5,7,1.0,1.0,0.0,0.0,1.0
NV,621210,84,10,1.0,0,10,0,1,Y,N,50000.0,62,1,5,10.819798284210286,0.5,7,0.0,1.0,0.0,0.0,1.0
ID,484230,84,4,1.0,0,4,0,1,Y,N,60000.0,48,4,1,11.002116507732017,0.5,7,0.0,1.0,0.0,0.0,1.0
OH,453910,78,5,1.0,1,5,0,1,N,N,35000.0,45,3,2,10.463131911491967,1.0,6,1.0,1.0,0.0,0.0,1.0
TX,541519,84,1,2.0,3,4,0,1,Y,N,25000.0,54,2,4,10.12667110305036,0.5,7,1.0,1.0,0.0,0.0,2.0
HI,424460,84,1,1.0,0,1,0,1,Y,N,50000.0,42,3,3,10.819798284210286,0.5,7,0.0,1.0,0.0,0.0,1.0
NJ,424110,64,2,1.0,0,2,0,1,N,N,25000.0,42,1,3,10.12667110305036,0.9,5,0.0,1.0,0.0,0.0,1.0
VT,113310,66,2,1.0,0,2,0,2,N,N,15000.0,11,5,5,9.61587214452889,0.5,5,0.0,1.0,0.0,0.0,1.0
WI,722211,84,9,1.0,0,9,43579,1,N,N,175000.0,72,4,3,12.07254696717504,0.5,7,0.0,1.0,1.0,0.0,1.0
CA,445110,60,2,1.0,0,2,0,1,N,N,120000.0,44,2,2,11.695255355062795,0.5,5,0.0,1.0,0.0,0.0,1.0
IN,485991,36,1,2.0,5,1,0,2,Y,N,50000.0,48,2,1,10.819798284210286,0.5,3,1.0,1.0,0.0,0.0,2.0
NC,722110,93,10,2.0,6,10,0,1,N,S,7500.0,72,2,3,8.922791623969637,0.9,7,1.0,1.0,0.0,,2.0
CT,561730,84,0,2.0,0,0,0,2,N,N,14000.0,56,4,2,9.546884034617925,0.5,7,0.0,0.0,0.0,0.0,2.0
MO,337122,12,4,1.0,2,4,0,2,N,N,50000.0,33,3,4,10.819798284210286,0.9,1,1.0,1.0,0.0,0.0,1.0
CA,423610,300,2,2.0,0,2,0,1,N,N,175000.0,42,2,3,12.07254696717504,0.9,25,0.0,1.0,0.0,0.0,2.0
CA,443120,240,7,1.0,0,0,0,1,N,N,194000.0,44,2,2,12.175618592671356,1.0,20,0.0,0.0,0.0,0.0,1.0
IN,722211,87,10,2.0,10,10,78760,1,N,N,133000.0,72,2,3,11.798111925972618,0.5,7,1.0,1.0,1.0,0.0,2.0
NY,722110,60,15,1.0,2,3,0,1,Y,N,60000.0,72,1,3,11.002116507732017,0.5,5,1.0,1.0,0.0,0.0,1.0
MO,812910,300,13,1.0,0,13,0,1,N,N,1550000.0,81,3,3,14.253766134056512,0.9,25,0.0,1.0,0.0,0.0,1.0
IL,541330,84,8,1.0,2,10,0,1,Y,N,215000.0,54,1,4,12.278397958261774,0.5,7,1.0,1.0,0.0,0.0,1.0
MS,112320,51,1,1.0,0,1,0,2,N,N,86200.0,11,3,5,11.364437057512568,0.5,4,0.0,1.0,0.0,0.0,1.0
OH,448310,36,3,1.0,1,3,0,1,N,N,44600.0,44,3,2,10.70551155928146,0.9,3,1.0,1.0,0.0,0.0,1.0
FL,541330,35,7,1.0,1,7,0,2,Y,N,150000.0,54,1,4,11.918397239722838,0.5,2,1.0,1.0,0.0,0.0,1.0
CA,452990,61,2,2.0,2,2,0,1,N,N,50000.0,45,2,2,10.819798284210286,0.9,5,1.0,1.0,0.0,0.0,2.0
OH,541990,60,0,1.0,0,0,0,1,N,N,15000.0,54,3,4,9.61587214452889,0.5,5,0.0,0.0,0.0,0.0,1.0
FL,541512,72,2,1.0,0,2,0,1,Y,N,50000.0,54,1,4,10.819798284210286,0.5,6,0.0,1.0,0.0,0.0,1.0
VA,541690,84,3,2.0,5,0,0,1,Y,N,25000.0,54,2,4,10.12667110305036,0.5,7,1.0,0.0,0.0,0.0,2.0
NY,812112,60,2,1.0,0,2,0,2,N,S,65000.0,81,1,3,11.082157933374816,0.9,5,0.0,1.0,0.0,,1.0
AZ,541110,60,2,2.0,1,2,0,1,N,N,15000.0,54,1,4,9.61587214452889,0.5,5,1.0,1.0,0.0,0.0,2.0
MI,711219,58,14,1.0,0,14,0,2,Y,N,15000.0,71,1,3,9.61587214452889,0.5,4,0.0,1.0,0.0,0.0,1.0
MN,621310,84,3,1.0,0,3,0,2,Y,N,10000.0,62,4,5,9.210440366976517,0.5,7,0.0,1.0,0.0,0.0,1.0
IA,445291,90,60,2.0,60,60,48400,1,N,N,500000.0,44,5,2,13.122365377402328,0.9,7,1.0,1.0,1.0,0.0,2.0
NY,423330,120,8,1.0,0,8,0,1,N,N,150000.0,42,1,3,11.918397239722838,0.5,10,0.0,1.0,0.0,0.0,1.0
MA,811111,60,3,1.0,1,3,0,1,N,N,18000.0,81,4,3,9.798182590890704,0.5,5,1.0,1.0,0.0,0.0,1.0
MA,541511,47,20,1.0,3,20,0,1,Y,N,350000.0,54,4,4,12.765691290604371,0.5,3,1.0,1.0,0.0,0.0,1.0
MN,621399,84,6,1.0,0,6,0,1,N,N,100000.0,62,4,5,11.51293546492023,0.9,7,0.0,1.0,0.0,0.0,1.0
CA,446199,84,11,1.0,1,11,0,1,N,N,325000.0,44,2,2,12.691583538230217,0.9,7,1.0,1.0,0.0,0.0,1.0
NJ,445210,270,6,2.0,0,6,0,1,N,N,450000.0,44,1,2,13.017005083966255,0.9,22,0.0,1.0,0.0,0.0,2.0
MI,238210,60,6,1.0,0,6,0,2,N,N,35000.0,23,1,2,10.463131911491967,1.0,5,0.0,1.0,0.0,0.0,1.0
MN,454390,69,1,1.0,0,1,0,2,N,N,100000.0,45,4,2,11.51293546492023,0.9,5,0.0,1.0,0.0,0.0,1.0
WA,238210,300,60,1.0,3,57,0,2,N,N,935000.0,23,4,2,13.74830287778897,0.9,25,1.0,1.0,0.0,0.0,1.0
AK,561730,60,4,1.0,0,4,0,1,Y,N,20000.0,56,4,2,9.90353755128617,0.5,5,0.0,1.0,0.0,0.0,1.0
MN,323119,78,3,1.0,0,3,0,1,N,N,35000.0,32,4,4,10.463131911491967,1.0,6,0.0,1.0,0.0,0.0,1.0
CO,541511,120,85,1.0,5,85,0,1,N,N,1250000.0,54,2,4,14.038654909278163,0.9,10,1.0,1.0,0.0,0.0,1.0
NV,238910,168,8,1.0,7,8,0,1,N,N,600000.0,23,1,2,13.304686600863562,0.9,14,1.0,1.0,0.0,0.0,1.0
IL,531210,39,3,1.0,2,3,0,1,N,N,25000.0,53,1,1,10.12667110305036,0.9,3,1.0,1.0,0.0,0.0,1.0
MI,236118,84,3,1.0,0,3,0,1,Y,N,30000.0,23,1,2,10.308985993422082,0.5,7,0.0,1.0,0.0,0.0,1.0
ID,541620,36,3,1.0,1,1,0,1,Y,N,100000.0,54,4,4,11.51293546492023,0.5,3,1.0,1.0,0.0,0.0,1.0
AZ,541613,36,3,1.0,0,3,0,1,Y,N,35000.0,54,1,4,10.463131911491967,0.5,3,0.0,1.0,0.0,0.0,1.0
AR,112320,12,1,1.0,0,1,0,2,N,N,20600.0,11,3,5,9.933094897288786,0.5,1,0.0,1.0,0.0,0.0,1.0
TX,722211,76,30,1.0,1,30,0,1,Y,N,20000.0,72,2,3,9.90353755128617,0.5,6,1.0,1.0,0.0,0.0,1.0
ID,448140,36,5,1.0,0,5,0,1,N,N,75000.0,44,4,2,11.225256725762893,0.9,3,0.0,1.0,0.0,0.0,1.0
WI,722110,278,2,2.0,38,2,0,2,N,N,626000.0,72,4,3,13.347107247525049,0.9,23,1.0,1.0,0.0,0.0,2.0
CO,445310,84,1,2.0,0,1,0,1,Y,N,5000.0,44,2,2,8.517393171418904,0.5,7,0.0,1.0,0.0,0.0,2.0
TX,621399,180,3,2.0,8,3,0,1,N,N,110000.0,62,2,5,11.608244735642321,0.85,15,1.0,1.0,0.0,0.0,2.0
MI,713940,84,0,2.0,13,0,65160,1,N,,25000.0,71,1,3,10.12667110305036,0.9,7,1.0,0.0,1.0,,2.0
WI,722410,300,10,1.0,0,10,0,1,N,N,75000.0,72,4,3,11.225256725762893,0.9,25,0.0,1.0,0.0,0.0,1.0
IN,523930,240,2,1.0,2,0,0,1,N,N,185000.0,52,2,1,12.128116509451258,1.0,20,1.0,0.0,0.0,0.0,1.0
CA,311812,186,45,1.0,0,45,0,1,N,N,1666600.0,31,2,3,14.326296780954065,0.9,15,0.0,1.0,0.0,0.0,1.0
GA,336412,72,19,1.0,0,0,0,1,N,N,920000.0,33,1,4,13.732130035981154,0.9,6,0.0,0.0,0.0,0.0,1.0
OH,441221,36,10,1.0,2,12,0,1,N,N,120500.0,44,3,2,11.699413330633599,0.5,3,1.0,1.0,0.0,0.0,1.0
FL,484122,57,4,1.0,0,4,0,2,N,N,79800.0,48,1,1,11.287291314687705,0.5,4,0.0,1.0,0.0,0.0,1.0
MN,444120,60,3,1.0,0,3,0,1,N,N,35000.0,44,4,2,10.463131911491967,1.0,5,0.0,1.0,0.0,0.0,1.0
UT,541410,84,5,1.0,0,5,0,1,Y,N,100000.0,54,2,4,11.51293546492023,0.5,7,0.0,1.0,0.0,0.0,1.0
KY,453998,246,0,2.0,2,0,0,1,N,N,80000.0,45,2,2,11.289794413577894,0.9,20,1.0,0.0,0.0,0.0,2.0
ME,722110,84,40,1.0,0,40,0,2,N,N,347500.0,72,5,3,12.758522821680685,0.5,7,0.0,1.0,0.0,0.0,1.0
MD,522310,60,25,1.0,5,30,0,1,N,N,75000.0,52,2,1,11.225256725762893,0.5,5,1.0,1.0,0.0,0.0,1.0
MA,484220,84,19,1.0,4,19,0,1,N,N,900000.0,48,4,1,13.710151153416941,0.9,7,1.0,1.0,0.0,0.0,1.0
KY,443112,99,14,1.0,0,14,0,2,N,N,390000.0,44,2,2,12.873904582205107,0.9,8,0.0,1.0,0.0,0.0,1.0
CA,541613,84,1,1.0,0,1,0,1,Y,N,25000.0,54,2,4,10.12667110305036,0.5,7,0.0,1.0,0.0,0.0,1.0
CA,611710,120,4,2.0,5,4,0,1,N,N,12500.0,61,2,1,9.433563920090563,0.9,10,1.0,1.0,0.0,0.0,2.0
FL,454210,72,13,1.0,13,0,0,1,N,N,500000.0,45,1,2,13.122365377402328,0.9,6,1.0,0.0,0.0,0.0,1.0
CA,445310,120,2,1.0,2,2,0,1,N,N,249900.0,44,2,2,12.428820118415677,0.9,10,1.0,1.0,0.0,0.0,1.0
GA,541511,48,37,1.0,0,37,0,1,N,N,18000.0,54,1,4,9.798182590890704,0.5,4,0.0,1.0,0.0,0.0,1.0
NC,337110,84,2,1.0,2,2,0,2,N,N,100000.0,33,2,4,11.51293546492023,0.5,7,1.0,1.0,0.0,0.0,1.0
OH,236118,60,3,1.0,3,3,0,1,N,N,22500.0,23,3,2,10.021315031649332,0.5,5,1.0,1.0,0.0,0.0,1.0
WI,454390,84,12,2.0,4,16,0,1,Y,N,100000.0,45,4,2,11.51293546492023,0.5,7,1.0,1.0,0.0,0.0,2.0
UT,621111,108,4,2.0,3,4,0,1,N,N,461700.0,62,2,5,13.042672774401334,0.9,9,1.0,1.0,0.0,0.0,2.0
IA,423420,84,24,1.0,4,24,0,1,N,N,508500.0,42,5,3,13.139222461037157,0.9,7,1.0,1.0,0.0,0.0,1.0
WA,423310,120,69,1.0,0,63,0,2,N,N,1508000.0,42,4,3,14.226295490679792,0.9,10,0.0,1.0,0.0,0.0,1.0
OH,561730,240,4,2.0,2,0,0,1,N,N,98000.0,56,3,2,11.49273296168228,1.0,20,1.0,0.0,0.0,0.0,2.0
FL,812199,60,4,1.0,0,4,0,1,N,N,25000.0,81,1,3,10.12667110305036,0.5,5,0.0,1.0,0.0,0.0,1.0
MT,621330,240,1,1.0,6,0,0,1,N,N,192000.0,62,5,5,12.165255859329688,1.0,20,1.0,0.0,0.0,0.0,1.0
MO,238220,128,5,1.0,2,5,0,2,N,N,100000.0,23,3,2,11.51293546492023,0.9,10,1.0,1.0,0.0,0.0,1.0
AZ,238990,96,1,1.0,2,1,0,1,N,N,1089000.0,23,1,2,13.900771320188321,0.9,8,1.0,1.0,0.0,0.0,1.0
MA,561510,29,4,1.0,2,4,0,1,T,N,75000.0,56,4,2,11.225256725762893,0.5,2,1.0,1.0,0.0,0.0,1.0
VA,441310,90,3,2.0,0,3,0,1,N,N,30000.0,44,2,2,10.308985993422082,0.9,7,0.0,1.0,0.0,0.0,2.0
VT,442299,60,0,2.0,2,0,0,1,N,N,30000.0,44,5,2,10.308985993422082,0.9,5,1.0,0.0,0.0,0.0,2.0
MI,722110,72,20,1.0,15,20,43351,1,Y,N,10000.0,72,1,3,9.210440366976517,0.5,6,1.0,1.0,1.0,0.0,1.0
CA,621310,240,4,1.0,10,0,0,1,N,N,146000.0,62,2,5,11.891368749982085,1.0,20,1.0,0.0,0.0,0.0,1.0
AL,722110,1,1,2.0,3,0,0,2,Y,,35000.0,72,3,3,10.463131911491967,0.9,0,1.0,0.0,0.0,,2.0
TX,722211,123,0,2.0,30,0,0,1,N,N,434000.0,72,2,3,12.980802117227352,0.9,10,1.0,0.0,0.0,0.0,2.0
MA,532120,42,62,1.0,0,62,0,2,N,N,100000.0,53,4,1,11.51293546492023,0.5,3,0.0,1.0,0.0,0.0,1.0
OH,339112,60,1,1.0,0,1,0,1,N,N,275000.0,33,3,4,12.524530013005734,0.9,5,0.0,1.0,0.0,0.0,1.0
AZ,722110,300,35,1.0,0,35,0,1,N,N,545000.0,72,1,3,13.208542908506082,0.9,25,0.0,1.0,0.0,0.0,1.0
GA,621330,240,1,1.0,0,1,0,2,N,N,96700.0,62,1,5,11.47937902264955,0.5,20,0.0,1.0,0.0,0.0,1.0
UT,484220,120,1,2.0,2,0,0,2,Y,N,100000.0,48,2,1,11.51293546492023,0.5,10,1.0,0.0,0.0,0.0,2.0
TN,323110,79,1,2.0,0,1,0,1,N,,5000.0,32,1,4,8.517393171418904,0.9,6,0.0,1.0,0.0,,2.0
IL,511110,120,2,1.0,3,2,0,1,N,N,20000.0,51,1,1,9.90353755128617,0.9,10,1.0,1.0,0.0,0.0,1.0
TX,311811,63,5,1.0,0,0,0,1,N,N,20000.0,31,2,3,9.90353755128617,0.9,5,0.0,0.0,0.0,0.0,1.0
AK,327390,120,3,1.0,1,3,0,2,N,N,15000.0,32,4,4,9.61587214452889,0.9,10,1.0,1.0,0.0,0.0,1.0
NJ,424990,120,3,1.0,6,3,0,1,N,N,400000.0,42,1,3,12.899222326086994,0.9,10,1.0,1.0,0.0,0.0,1.0
CO,517110,84,1,2.0,5,5,0,2,N,N,125000.0,51,2,1,11.736077016252437,0.5,7,1.0,1.0,0.0,0.0,2.0
NV,488190,84,7,1.0,0,7,0,2,Y,N,350000.0,48,1,1,12.765691290604371,0.5,7,0.0,1.0,0.0,0.0,1.0
MI,541330,47,2,2.0,0,2,0,2,Y,N,12000.0,54,1,4,9.392745258631441,0.5,3,0.0,1.0,0.0,0.0,2.0
ND,443120,12,6,1.0,0,6,0,2,Y,N,50000.0,44,5,2,10.819798284210286,0.5,1,0.0,1.0,0.0,0.0,1.0
TX,238160,84,12,1.0,3,12,0,2,N,N,50000.0,23,2,2,10.819798284210286,0.5,7,1.0,1.0,0.0,0.0,1.0
NY,711310,109,4,1.0,2,4,0,1,N,N,12500.0,71,1,3,9.433563920090563,0.9,9,1.0,1.0,0.0,0.0,1.0
OK,722110,111,6,1.0,2,6,0,1,N,S,12500.0,72,3,3,9.433563920090563,0.9,9,1.0,1.0,0.0,,1.0
UT,238290,84,7,1.0,1,8,0,1,N,N,513000.0,23,2,2,13.148033073468746,0.9,7,1.0,1.0,0.0,0.0,1.0
IA,524210,57,1,2.0,3,4,0,1,T,N,25000.0,52,5,1,10.12667110305036,0.5,4,1.0,1.0,0.0,0.0,2.0
NY,541921,60,1,1.0,0,1,0,1,N,N,18000.0,54,1,4,9.798182590890704,0.5,5,0.0,1.0,0.0,0.0,1.0
VA,541320,79,3,1.0,0,0,0,2,T,N,100000.0,54,2,4,11.51293546492023,0.5,6,0.0,0.0,0.0,0.0,1.0
NY,238910,60,5,1.0,0,5,0,1,N,N,122500.0,23,1,2,11.715874472198905,0.5,5,0.0,1.0,0.0,0.0,1.0
MS,112320,84,2,1.0,0,2,0,2,N,N,7700.0,11,3,5,8.94910546953925,0.9,7,0.0,1.0,0.0,0.0,1.0
MN,236220,63,7,1.0,7,7,0,1,Y,N,350000.0,23,4,2,12.765691290604371,0.5,5,1.0,1.0,0.0,0.0,1.0
CA,238310,67,6,1.0,0,6,0,1,Y,N,25000.0,23,2,2,10.12667110305036,0.5,5,0.0,1.0,0.0,0.0,1.0
ME,484110,60,2,1.0,0,2,0,1,N,N,21600.0,48,5,1,9.980494888896912,0.9,5,0.0,1.0,0.0,0.0,1.0
NY,722211,35,3,2.0,3,3,0,1,N,N,15000.0,72,1,3,9.61587214452889,0.5,2,1.0,1.0,0.0,0.0,2.0
MN,238210,60,1,2.0,0,1,0,2,Y,N,10000.0,23,4,2,9.210440366976517,0.9,5,0.0,1.0,0.0,0.0,2.0
KY,541430,48,2,1.0,1,2,0,1,N,N,10000.0,54,2,4,9.210440366976517,0.5,4,1.0,1.0,0.0,0.0,1.0
OK,811192,300,2,2.0,19,0,0,1,N,N,1649100.0,81,3,3,14.315740848908042,0.9,25,1.0,0.0,0.0,0.0,2.0
WV,484110,64,1,2.0,0,1,0,2,Y,,50000.0,48,3,1,10.819798284210286,0.9,5,0.0,1.0,0.0,,2.0
NY,423830,84,25,1.0,0,25,0,1,N,N,300000.0,42,1,3,12.611541086966115,0.9,7,0.0,1.0,0.0,0.0,1.0
WI,561790,72,1,1.0,2,1,0,2,N,N,39200.0,56,4,2,10.576457535657255,0.5,6,1.0,1.0,0.0,0.0,1.0
MN,541110,84,1,2.0,1,2,0,1,Y,N,10000.0,54,4,4,9.210440366976517,0.9,7,1.0,1.0,0.0,0.0,2.0
WA,621340,96,15,1.0,0,15,0,1,N,N,235000.0,62,4,5,12.367345048436391,0.9,8,0.0,1.0,0.0,0.0,1.0
CA,621111,84,8,2.0,0,8,0,1,N,N,51000.0,62,2,5,10.839600519357369,0.5,7,0.0,1.0,0.0,0.0,2.0
UT,238910,60,2,2.0,0,2,0,1,N,N,25000.0,23,2,2,10.12667110305036,0.9,5,0.0,1.0,0.0,0.0,2.0
TX,722410,60,2,2.0,0,2,0,1,N,N,11000.0,72,2,3,9.305741456739435,0.9,5,0.0,1.0,0.0,0.0,2.0
MS,112320,157,1,2.0,1,1,0,1,N,N,587000.0,11,3,5,13.282781802386296,0.9,13,1.0,1.0,0.0,0.0,2.0
TN,561730,60,10,1.0,1,0,0,1,Y,N,70000.0,56,1,2,11.156264806643742,0.5,5,1.0,0.0,0.0,0.0,1.0
TX,213112,78,10,1.0,0,3,0,1,N,N,35000.0,21,2,5,10.463131911491967,1.0,6,0.0,1.0,0.0,0.0,1.0
KY,541430,60,2,1.0,1,2,0,1,Y,N,15000.0,54,2,4,9.61587214452889,0.5,5,1.0,1.0,0.0,0.0,1.0
UT,811310,240,7,1.0,7,3,0,1,N,N,250000.0,81,2,3,12.429220196836383,0.9,20,1.0,1.0,0.0,0.0,1.0
MI,441310,60,0,1.0,0,0,0,1,N,N,13800.0,44,1,2,9.53249633228804,0.5,5,0.0,0.0,0.0,0.0,1.0
AR,339999,149,35,1.0,0,35,0,2,N,N,1666600.0,33,3,4,14.326296780954065,0.9,12,0.0,1.0,0.0,0.0,1.0
MO,238220,189,7,2.0,0,7,0,1,N,N,572500.0,23,3,2,13.257769761133897,0.9,15,0.0,1.0,0.0,0.0,2.0
PA,531390,120,1,1.0,0,1,0,2,N,N,150000.0,53,4,1,11.918397239722838,0.5,10,0.0,1.0,0.0,0.0,1.0
NY,541512,60,2,1.0,0,2,0,1,N,N,40000.0,54,1,4,10.596659732783579,0.5,5,0.0,1.0,0.0,0.0,1.0
NY,332994,60,5,1.0,0,5,0,1,N,N,54000.0,33,1,4,10.896757843893464,0.5,5,0.0,1.0,0.0,0.0,1.0
TN,454210,120,3,1.0,0,3,0,1,N,N,123000.0,45,1,2,11.719947764402807,0.9,10,0.0,1.0,0.0,0.0,1.0
MN,541990,84,3,1.0,0,3,0,1,Y,N,20000.0,54,4,4,9.90353755128617,0.5,7,0.0,1.0,0.0,0.0,1.0
